keyword,cluster,intentie,pagina_tinta,avem_pagina,prioritate,cautari_lunare,cautari_interval,concurenta_ads,cpc_low_ron,cpc_high_ron,in_autocomplete,competitori_nr,competitori,title_propus,h1_propus
creare site web,creare-site,comercial,/creare-site-web/,avem,P0,5000,1.000–10.000,Medium,8.48,23.59,da,10,bromedia.ro; digitalcuisine.ro; digitalpath.ro; divasweb.ro; mipadoweb.ro; oricemedia.ro; rauden.ro; seomark.ro; sonic-web-design.ro; webhero.ro,Creare site web București | prezentare și landing page,Creare site web de prezentare în București
creare site,creare-site,comercial,/creare-site-web/,avem,P0,5000,1.000–10.000,Medium,8.48,23.59,da,13,agentiewebdesignbucuresti.ro; bromedia.ro; digitalcuisine.ro; digitalpath.ro; divasweb.ro; mipadoweb.ro; oricemedia.ro; rauden.ro; seomark.ro; sonic-web-design.ro; webdesignersalley.ro; webhero.ro; webis.ro,,
creare site de prezentare,creare-site,comercial,/creare-site-web/,avem,P0,500,100–1.000,Medium,6.87,16.39,da,3,bromedia.ro; digitalcuisine.ro; webis.ro,,
realizare site web,creare-site,comercial,/creare-site-web/,avem,P1,500,100–1.000,Low,8.94,22.90,da,1,oricemedia.ro,,
web design bucuresti,creare-site,comercial,/creare-site-web/,avem,P0,500,100–1.000,Medium,6.20,17.10,nu,5,agentiewebdesignbucuresti.ro; digitalpath.ro; searchads.ro; sonic-web-design.ro; webdesignersalley.ro,,
creare site wordpress,creare-site,comercial,/creare-site-web/,avem,P1,500,100–1.000,Low,4.81,16.21,da,4,oricemedia.ro; seomark.ro; webdesignersalley.ro; webis.ro,,
creare landing page,creare-site,comercial,/creare-site-web/,avem,P1,50,10–100,,,,nu,0,,,
creare site firma,creare-site,comercial,/creare-site-web/,avem,P1,50,10–100,Medium,10.17,17.98,da,1,webis.ro,,
firma creare site web,creare-site,comercial,/creare-site-web/,avem,P1,50,10–100,High,13.81,20.41,nu,0,,,
creare magazin online,creare-site,comercial,de creat: /creare-magazin-online/,nu,P0,5000,1.000–10.000,Medium,14.82,39.68,da,13,agentiewebdesignbucuresti.ro; bromedia.ro; digitalcuisine.ro; digitalpath.ro; divasweb.ro; mipadoweb.ro; oricemedia.ro; rauden.ro; seomark.ro; sonic-web-design.ro; webdesignersalley.ro; webhero.ro; webis.ro,Creare magazin online | WooCommerce și Shopify,Creare magazin online pentru afacerea ta
creare site web bucuresti,creare-site,comercial,/creare-site-web/,avem,P0,500,100–1.000,Low,6.06,14.81,da,1,digitalcuisine.ro,,
site de prezentare pret,pret,comercial,de creat: /preturi/,nu,P0,50,10–100,Medium,5.41,14.93,da,0,,,
refacere site,creare-site,comercial,/creare-site-web/,avem,P2,50,10–100,Medium,4.44,13.96,nu,2,digitalpath.ro; sonic-web-design.ro,,
redesign site,creare-site,comercial,/creare-site-web/,avem,P2,50,10–100,Medium,4.34,12.42,nu,0,,,
servicii seo,seo,comercial,/servicii-seo/,avem,P0,5000,1.000–10.000,Low,4.92,14.78,da,7,divasweb.ro; re7consulting.ro; searchads.ro; seomark.ro; servicii-seo.com; spartanseo.ro; webdesignersalley.ro,Servicii SEO București | optimizare site Google,Servicii de optimizare SEO pentru Google
